basename,songLengthMs,bSP,BSP,DSP,ESP,CSP,bDP,BDP,DDP,EDP,CDP
flou,106188,17 19 0 0 0,32 31 5 6 0,47 50 36 28 6,58 63 60 30 22,,,35 31 12 9 0,44 44 25 35 4,54 50 52 21 15,
flow,95993,23 23 7 0 0,33 35 47 63 0,49 52 80 25 11,64 58 100 5 34,,,35 40 56 63 0,49 52 87 33 14,63 52 76 5 33,
flow2,95993,23 30 7 0 0,33 45 47 107 0,49 67 80 43 10,64 75 100 5 27,75 67 65 1 41,,35 52 56 107 0,49 67 87 57 14,63 67 76 5 26,75 67 67 1 40
flow3,95999,17 16 0 0 0,26 32 9 55 0,46 48 20 27 18,64 81 69 42 50,,,25 21 5 54 0,46 43 23 30 18,60 70 63 47 39,
fluc,120000,26 30 0 46 0,42 30 0 59 6,85 67 7 53 72,127 106 49 86 111,,,41 30 0 69 5,84 67 7 64 71,132 106 34 100 112,
flya,101760,19 15 0 0 0,21 20 0 12 0,39 31 7 44 2,64 46 5 8 45,,,22 20 0 16 0,40 36 25 20 11,58 41 5 12 35,
flya2,94160,24 21 0 8 0,35 27 5 11 0,50 37 3 15 12,79 65 58 21 64,2 43 0 0 1,,33 27 1 30 0,50 43 25 35 14,77 65 52 2 57,
flyf,106489,18 20 0 25 0,30 40 5 22 0,44 54 10 26 11,72 74 25 30 53,,,30 40 7 37 0,44 54 21 26 10,72 74 20 31 55,
flyt,114430,19 23 5 35 0,21 35 16 52 0,49 40 20 51 21,57 46 9 30 36,,19 23 18 0 0,26 29 21 41 0,37 46 40 34 0,54 46 27 83 39,
fndw,104725,18 27 3 54 0,36 34 16 62 0,57 55 12 34 19,76 96 30 34 47,,,36 27 1 58 0,57 55 9 34 19,72 96 40 34 41,
fnkm,85719,13 13 0 10 0,19 18 0 0 0,33 27 3 29 6,48 36 23 10 31,,13 18 3 0 0,20 18 0 0 0,33 31 1 25 7,45 36 0 38 24,
fnky,96249,14 15 3 13 0,22 25 5 43 0,37 30 21 68 4,51 45 14 32 25,,,22 25 5 26 0,34 30 7 61 1,51 40 5 20 27,
foca,91437,17 18 0 0 0,21 18 0 0 0,41 36 0 12 2,49 42 1 51 8,,,27 30 1 11 0,35 36 10 0 0,41 48 9 45 7,
fold,88834,20 16 1 0 0,27 26 7 0 0,46 32 7 0 12,60 48 7 0 32,,,24 26 0 0 0,48 37 0 0 23,57 43 7 7 23,
fole,115359,16 30 9 101 0,36 60 40 77 1,46 60 23 94 19,74 67 58 27 31,85 102 74 46 90,,34 52 23 79 0,45 52 12 91 18,73 60 47 16 28,79 102 65 43 74
foll,91023,,45 42 29 0 0,57 56 70 0 10,65 70 89 0 23,80 56 30 0 33,,42 42 27 0 0,65 56 32 0 23,73 56 0 0 35,76 56 43 0 31
fore,91993,14 12 0 19 0,37 43 10 0 0,41 50 20 0 6,64 50 1 0 28,,,26 25 0 50 0,51 43 0 42 17,72 50 7 18 34,
foto,120426,18 23 0 4 0,25 29 7 52 0,45 46 27 16 9,64 52 12 10 43,86 75 36 28 103,,27 29 5 42 0,43 46 36 23 7,67 52 7 20 59,86 69 32 22 104
frea,90114,9 11 0 0 0,9 11 1 14 0,21 19 9 51 0,26 26 16 51 5,,,,,,
frec,92407,17 18 1 0 0,31 31 3 22 0,43 43 20 25 8,67 50 12 58 27,,,31 31 3 22 0,44 37 12 40 8,80 56 9 17 52,
free,87572,26 24 1 0 0,32 30 0 59 0,44 49 47 17 4,66 67 23 22 34,60 30 0 0 12,,31 30 3 31 1,42 49 43 13 2,57 67 41 13 19,
free1,89186,17 18 5 0 0,27 30 5 41 0,42 37 20 50 5,58 49 25 51 20,,,,,,
frez,99432,12 17 1 61 0,24 23 0 144 0,39 40 16 146 6,58 52 29 123 47,63 52 45 120 47,,22 29 1 128 0,37 35 12 144 5,59 46 16 113 42,63 46 34 113 42
frid,75491,15 19 12 0 0,33 32 0 42 0,50 51 27 36 15,69 51 14 34 56,,,29 25 0 84 0,50 51 27 35 16,69 51 14 36 58,
frin,117600,14 18 0 0 0,32 31 3 17 0,43 50 7 27 6,57 50 16 37 17,,,34 31 1 11 0,42 50 12 18 4,54 50 16 17 13,
frky,98573,,38 33 5 0 0,47 53 18 0 5,50 53 112 0 7,,,,,,
froz,105002,23 19 1 0 0,32 39 10 25 0,52 52 12 38 12,75 58 9 9 40,,,26 32 9 25 0,50 45 7 12 12,67 52 5 3 29,
frve,76872,23 21 5 0 0,24 26 10 36 0,40 37 9 48 6,47 42 40 63 9,,23 21 5 0 0,24 26 9 24 0,37 32 7 42 1,47 42 12 47 14,
ftsy,95725,18 22 1 0 0,39 44 20 29 0,54 59 63 31 9,72 66 69 32 24,78 66 142 26 29,,39 37 9 28 0,54 52 47 29 9,71 59 60 28 23,78 66 144 44 25
fufl,114075,10 13 1 25 0,34 27 7 14 0,66 54 3 23 32,115 100 7 40 106,,,33 27 3 14 0,66 54 1 25 32,115 100 9 40 107,
fuji,104814,24 26 1 3 0,34 39 9 13 0,54 52 41 25 11,74 79 36 16 40,,,34 52 14 8 0,54 52 16 18 9,67 79 29 11 29,
funk,86845,21 21 9 0 0,29 31 10 41 0,28 31 10 26 0,50 42 10 55 12,,,24 26 3 13 0,42 31 10 27 5,49 37 7 33 11,
furi,114000,14 16 1 0 0,22 25 3 14 0,52 58 3 21 5,82 66 63 24 27,,,24 33 3 14 0,51 58 20 21 5,82 66 45 24 28,
futu,95654,14 17 1 10 0,24 23 1 29 0,31 34 12 70 2,48 46 23 59 12,51 46 72 31 29,,20 23 3 18 0,44 40 10 41 10,70 69 14 35 70,56 40 63 31 70
fuuf,108000,26 30 1 0 0,39 37 5 22 0,60 60 27 19 16,79 67 30 16 43,,,38 37 5 20 0,60 60 29 16 17,79 67 25 19 42,
fway,104265,17 18 3 13 0,34 36 7 27 0,45 42 14 17 5,56 48 41 58 17,71 60 9 9 48,,34 36 7 27 0,45 42 14 17 5,56 48 40 56 17,70 60 9 9 44
fwer,122079,16 21 5 51 0,35 36 12 70 0,59 50 16 16 17,72 86 50 17 42,97 93 69 25 104,,38 36 12 34 0,58 43 12 24 17,68 64 32 22 37,89 86 54 25 102
gaia,122333,22 22 10 8 0,54 74 14 36 23,78 89 27 24 46,117 109 0 0 106,,,53 74 23 36 19,75 89 25 20 39,117 109 0 0 106,
gain,94955,16 17 9 3 0,25 29 1 0 0,42 40 1 0 6,65 58 0 0 52,,,28 29 0 0 0,44 34 0 0 6,70 46 1 0 30,
gaku,88825,26 29 14 20 0,44 58 16 0 1,49 51 56 0 5,49 58 102 0 7,,,37 51 21 14 0,47 51 27 9 5,48 58 92 0 7,
gale,118134,19 24 7 60 0,45 48 12 36 2,86 80 34 75 57,127 102 72 46 103,,,45 48 7 35 2,80 64 27 73 47,121 102 45 47 101,
gamb,68232,,20 21 0 0 0,34 34 21 0 6,44 51 32 0 26,,,36 34 25 0 8,40 38 34 0 20,,
game,81600,27 31 3 0 0,36 31 5 0 0,42 31 16 0 4,73 56 5 0 80,,,37 31 21 0 0,41 43 54 0 1,72 68 54 0 72,
gany2,126549,8 14 7 24 0,17 18 5 21 0,34 48 23 60 30,61 74 16 54 106,90 89 34 114 129,,16 18 7 21 0,34 48 23 69 29,62 74 7 59 108,90 89 32 118 137
gate,89378,21 18 1 0 0,26 24 1 3 0,48 42 16 3 7,62 42 0 14 34,,,23 18 1 11 0,46 36 1 3 20,64 48 1 3 30,
gate2,88161,17 18 7 11 0,36 30 18 27 0,53 49 34 39 10,75 67 52 18 65,,,41 36 18 17 0,53 49 34 15 15,75 61 21 35 40,
geba,91358,18 19 1 0 0,35 32 10 50 1,52 45 12 30 11,63 58 32 32 46,109 90 16 10 105,,36 32 10 50 1,52 45 5 32 12,62 58 14 49 42,108 90 9 10 105
geis,107999,16 23 3 0 0,35 40 29 31 1,47 46 36 57 10,62 52 30 59 32,,,34 29 20 27 0,44 46 40 15 7,63 52 36 22 32,
geki,103055,14 21 0 16 0,35 28 0 31 0,49 56 23 64 7,73 70 27 32 45,,,27 28 7 26 0,54 49 27 19 11,74 56 27 15 30,
gekk,81466,28 27 1 0 0,29 27 1 24 0,54 45 9 8 2,73 63 30 20 23,,,26 18 0 9 0,52 36 9 7 2,73 63 21 3 20,
gene,69225,21 28 1 0 0,32 28 10 5 0,49 56 34 17 5,69 56 32 47 31,,,32 35 9 5 0,47 56 29 30 6,67 56 36 30 28,
geni,90222,18 22 1 33 0,26 28 7 104 0,41 33 1 73 9,55 50 9 77 40,,,27 28 9 57 0,41 33 1 45 8,56 45 5 62 33,
geno,78400,21 25 9 0 0,43 50 74 0 0,52 43 27 0 9,60 56 63 0 18,,,49 43 36 0 7,57 56 83 0 15,69 75 34 72 53,
gens,98243,22 24 0 0 0,44 40 7 15 0,66 56 9 31 15,78 64 47 51 30,,,50 48 7 14 0,56 64 65 33 8,78 64 49 53 30,
gent,97359,,42 58 16 0 10,59 65 30 0 19,68 65 43 0 25,,,42 58 16 0 10,59 65 30 0 19,,
gerb,124097,26 24 7 25 0,57 65 29 23 7,101 107 52 32 80,132 124 92 30 105,,,57 65 30 23 7,100 107 52 33 80,143 124 70 31 106,
getb,101540,17 20 1 0 0,32 26 20 60 0,48 41 25 54 10,52 41 12 74 24,,,22 26 3 64 0,37 36 20 63 5,55 41 25 37 16,
getd,86923,19 14 0 0 0,23 23 3 21 0,40 28 7 47 6,46 37 10 57 14,,,21 23 7 7 0,33 28 12 21 4,42 32 14 17 10,
geti,92561,23 23 7 0 0,39 35 25 23 1,55 46 45 27 41,65 52 40 39 80,,,39 35 25 30 1,52 46 41 22 24,66 64 38 25 70,
getm,92844,,32 26 0 0 0,48 42 0 0 11,61 47 0 0 54,,,32 26 0 0 0,42 31 0 0 6,59 42 18 0 25,
getu,74529,18 22 23 0 0,46 44 18 0 12,49 38 16 0 31,68 55 47 0 43,77 55 12 20 100,,43 33 16 0 4,49 38 9 0 31,61 55 3 0 44,79 55 12 27 100
getu2,90922,13 16 9 0 0,43 44 12 12 9,46 38 16 23 26,67 55 34 27 40,57 38 47 20 29,,38 33 12 15 2,45 38 9 17 26,68 49 27 0 45,56 38 38 12 28
geyw,100125,13 16 1 14 0,31 44 36 21 0,47 44 36 33 20,80 93 32 16 106,,,31 44 30 21 0,47 44 23 28 19,75 87 30 17 104,
gher,96310,22 16 0 0 0,29 22 0 0 0,44 33 20 0 6,51 44 34 0 17,,,33 27 7 0 0,47 44 20 0 11,57 44 34 0 22,
gher3,93126,,,,,60 44 25 18 31,,,,,57 49 21 50 30
ghet,97101,12 21 0 18 0,32 27 5 20 0,47 38 12 5 8,65 54 25 5 31,,,35 27 9 4 0,50 38 14 2 13,68 54 25 0 34,
ghok,107797,17 14 1 24 0,30 29 18 45 2,46 39 43 45 17,66 78 36 37 101,,,29 29 10 43 0,46 39 23 37 15,61 78 32 37 86,
ghos,86725,22 17 0 0 0,27 23 0 17 0,45 40 14 38 16,64 86 0 84 89,,,30 23 0 11 0,37 34 1 24 6,60 46 16 15 29,
gili,94853,17 18 1 0 0,35 30 9 4 0,53 42 12 9 11,73 55 23 4 36,,,35 30 9 4 0,53 42 12 9 11,73 55 23 4 34,
gimm,93424,,41 31 5 0 0,50 43 9 0 7,58 49 20 0 16,,,42 37 7 0 0,48 49 9 0 5,54 49 21 0 15,
girl,89059,19 15 0 12 0,24 25 7 22 0,33 30 25 76 3,48 45 32 61 21,,,26 25 14 27 0,35 30 9 84 3,48 40 12 81 18,
gitg,116571,11 11 1 10 0,37 46 23 48 0,62 52 5 34 37,112 93 23 28 109,,,37 35 7 31 0,62 52 0 35 37,105 93 7 18 109,
give,97846,21 21 7 0 0,33 32 34 5 0,42 43 50 43 6,55 54 87 20 29,,,33 38 34 5 0,41 43 60 45 6,54 43 49 39 25,
givm,107586,23 21 7 10 0,42 43 29 36 0,67 58 54 31 22,109 108 52 21 102,113 100 60 39 103,,43 50 36 35 0,66 58 50 26 21,109 108 54 21 102,121 100 65 38 106
gkrb,114839,18 31 12 19 0,46 54 38 34 0,73 69 21 55 29,113 112 27 30 102,179 112 27 13 113,,44 54 36 36 0,71 62 20 54 27,111 112 25 27 101,184 112 21 20 113
glac,116129,28 31 5 23 0,50 54 10 35 5,88 69 36 32 60,113 108 74 28 104,,,50 54 10 35 5,88 69 36 32 61,111 104 58 28 103,
glcr,114483,14 14 7 10 0,40 43 1 34 4,76 87 40 49 66,139 108 18 61 109,,,40 43 1 34 4,76 87 40 49 66,130 108 14 66 108,
glfl,120914,25 27 10 10 0,47 48 10 16 5,87 83 49 11 101,135 102 21 18 111,,,48 48 9 16 6,89 102 38 11 102,143 105 27 12 112,
glgl,117474,25 31 10 9 0,50 47 20 40 6,71 71 20 37 29,99 95 23 32 92,,,50 47 18 41 6,69 63 18 37 26,93 79 14 33 68,
glit,107636,24 34 14 56 0,39 41 34 63 6,67 75 34 51 41,104 105 41 65 107,143 111 10 47 115,,39 41 32 64 6,66 61 29 52 38,98 101 40 76 107,149 111 9 43 118
glor,98625,24 20 0 0 0,25 20 0 29 0,48 40 12 21 0,64 60 30 15 27,,,30 20 0 29 0,44 40 7 16 0,66 53 29 5 23,
gltr,119999,22 23 3 16 0,54 46 3 30 9,80 61 7 31 58,115 99 47 44 106,,,49 46 1 30 4,80 61 5 31 58,121 99 36 44 108,
gmdd,78587,,27 29 14 0 10,28 29 9 0 10,31 37 30 0 14,,,28 29 16 0 10,31 37 30 0 14,,
goda,94345,13 12 0 0 0,16 18 7 32 0,39 42 21 40 3,65 60 23 45 39,,,29 24 5 51 0,46 42 25 68 10,62 54 30 51 30,
godf,108000,13 11 1 22 0,31 23 1 32 0,44 46 34 57 9,62 52 30 42 37,,,28 23 3 21 0,45 46 9 80 12,57 52 20 31 33,
godo,110477,15 15 0 2 0,20 26 0 39 0,53 52 23 28 26,79 73 23 58 101,,,19 21 0 52 0,55 52 12 23 28,72 63 23 70 88,
gofo,95000,31 36 5 46 0,49 59 38 64 4,74 81 30 27 40,106 105 23 34 104,157 108 40 30 122,,50 59 38 36 4,70 73 25 19 34,99 105 34 26 104,175 108 30 23 123
gogo,126081,19 19 0 30 0,31 26 0 12 0,46 39 14 29 6,55 59 23 32 18,,,35 32 3 0 0,45 39 10 29 6,54 52 20 20 16,
gohy,104615,22 26 9 23 0,38 45 18 26 3,66 65 25 34 37,90 84 72 31 103,125 102 52 33 111,,39 45 14 21 3,67 65 18 23 51,89 78 16 24 102,128 97 30 42 112
goin,90897,22 18 0 12 0,38 30 9 3 3,48 74 30 20 16,72 61 3 20 74,,,37 24 0 3 2,48 61 29 14 14,72 61 3 15 73,
gola,103059,21 28 3 31 0,42 56 32 45 1,81 63 25 23 36,118 106 34 42 104,118 106 34 42 106,,42 42 32 38 1,80 63 25 24 36,116 106 36 40 104,116 106 36 43 107
gold,92429,20 16 1 0 0,28 28 3 8 0,40 33 16 4 1,53 45 27 15 15,,,26 28 5 16 0,37 33 20 5 0,54 45 23 4 16,
golo,96000,20 21 0 0 0,52 42 34 36 8,86 70 36 11 67,101 99 40 11 102,165 106 25 33 114,,50 42 25 43 6,81 70 36 11 51,102 99 40 11 103,179 106 20 32 115
gonn,92800,21 24 5 3 0,26 24 9 17 0,39 43 32 14 4,71 62 21 16 47,,,,,,
good,88290,19 20 10 0 0,25 31 10 23 0,44 41 38 18 10,67 67 36 32 65,,,,,,
gorg,95989,16 22 10 0 0,16 22 14 0 0,48 39 27 29 11,56 56 49 30 22,,,24 28 10 54 0,35 45 30 48 6,55 67 36 25 34,
goru,97779,15 20 1 0 0,28 33 21 43 0,46 54 54 66 13,71 60 40 31 86,,,31 33 5 54 0,38 47 29 63 6,74 67 25 31 98,
gotc,84805,,20 19 0 0 0,38 34 3 0 6,49 38 7 0 22,,,21 19 0 0 0,37 24 0 0 4,56 38 12 0 43,
gott,86631,21 22 1 0 0,28 27 27 11 0,45 44 32 17 12,69 61 45 18 47,,,,,,
goup,114348,20 17 0 8 0,51 35 0 0 0,69 53 12 0 9,85 70 16 0 26,77 53 56 0 10,,47 35 0 14 0,68 53 14 0 9,85 70 14 0 26,75 53 41 0 8
gr04,105291,20 25 7 52 0,47 45 30 77 7,65 51 25 45 26,98 96 38 54 105,99 108 74 81 107,,48 45 18 59 7,63 51 23 58 23,96 96 32 60 106,99 101 34 74 108
grad,101158,,46 53 3 0 7,58 53 23 0 19,66 93 58 0 29,,,51 53 9 0 11,61 66 18 0 23,79 100 36 0 61,
gran,121890,15 23 0 57 0,35 31 7 44 0,62 63 23 33 16,84 71 21 27 50,,,34 31 7 47 0,61 55 14 33 15,84 71 16 26 49,
grco,116800,14 18 1 21 0,28 30 7 58 0,54 48 3 77 32,78 89 3 63 104,94 103 9 60 113,,26 30 5 77 0,51 42 1 78 29,75 77 0 61 102,90 103 1 63 111
gren,90667,9 11 1 25 0,28 28 5 30 0,44 45 12 32 8,60 61 25 35 36,,,28 28 5 30 0,43 45 7 32 7,59 61 23 35 35,
grip,114000,24 20 0 0 0,35 26 0 22 0,61 40 7 7 19,82 60 21 3 67,127 103 38 13 106,,37 53 5 2 0,63 53 21 2 21,77 66 27 1 64,127 103 38 13 106
grme,112500,10 10 0 7 0,29 26 16 43 0,39 42 10 55 12,60 64 16 63 71,,,28 26 16 43 0,39 42 10 55 12,58 64 12 61 58,
groo,90458,17 21 18 0 0,30 32 16 0 0,43 48 32 0 7,58 48 65 0 22,,,29 27 23 0 0,42 43 27 0 5,56 48 56 0 20,
gsun,115136,25 30 14 6 0,58 60 23 2 13,84 75 45 11 64,126 106 72 8 107,,,57 52 25 2 12,85 75 29 11 61,137 106 52 9 109,
gtim,86750,11 13 10 0 0,22 23 14 0 0,30 32 14 0 4,45 46 23 0 29,,,,,,
gtit,102069,16 21 7 34 0,41 43 23 29 2,76 58 18 35 45,119 108 36 36 108,,,41 43 10 29 2,75 58 16 35 44,126 108 30 30 110,
gtof,88652,,31 34 9 0 1,40 45 16 0 11,64 45 0 0 24,,,,,,
gtto,120000,14 15 1 24 0,38 37 23 31 0,64 60 54 31 30,92 91 81 8 100,,,38 37 14 32 0,66 60 40 29 31,93 91 70 12 100,
gtup,90467,,32 33 12 0 0,43 44 0 0 9,53 49 3 0 36,,,,,,
gtwo,116796,30 28 0 11 0,56 56 65 46 8,68 63 47 69 22,91 92 27 47 92,,25 21 1 0 0,52 56 54 15 6,58 49 50 16 16,87 70 12 17 81,
guil,124285,18 20 3 16 0,44 41 10 45 1,57 54 32 71 18,75 75 38 71 55,,,44 41 9 45 1,57 54 30 71 18,76 75 29 71 55,
gunj,115556,7 11 0 21 0,10 16 3 13 0,30 33 1 37 1,60 45 3 29 27,,,10 11 0 21 0,30 28 1 37 0,58 45 1 30 26,
gurr,94823,15 21 0 0 0,22 29 0 57 0,38 50 10 89 5,55 58 21 82 25,,,,,,
gyps,93000,9 15 1 7 0,20 24 3 49 2,33 34 12 19 7,52 49 20 18 25,,,,,,
gyru,96534,17 19 1 6 0,30 33 3 40 0,40 52 34 81 14,53 72 47 54 29,,17 19 1 6 0,26 26 0 60 0,47 59 29 28 16,58 59 40 28 29,
habi,100000,20 24 12 0 0,27 24 20 19 1,58 54 56 0 24,77 84 54 0 60,,,38 42 21 55 3,55 48 18 92 26,77 72 34 48 65,
habr,126967,22 25 1 12 0,39 38 20 27 0,60 51 30 31 16,100 101 27 32 102,,,40 38 20 27 0,60 51 34 31 16,103 101 23 19 103,
hage,119999,4 5 0 0 0,17 19 9 37 0,28 29 7 60 4,42 39 12 49 20,,,18 19 9 33 0,28 34 9 36 3,43 39 10 49 20,
haji,116250,4 5 0 0 0,27 26 9 3 0,41 42 10 41 11,52 42 21 12 19,,,18 21 5 0 0,41 37 7 25 9,57 42 10 14 24,
hakk,118244,12 14 1 6 0,37 44 12 10 0,61 58 12 30 33,93 108 29 24 105,,,36 29 18 10 0,61 58 9 31 31,94 105 27 25 106,
hakt,92091,15 14 5 0 0,27 28 1 8 0,49 50 18 17 6,64 57 50 38 19,,,29 28 1 3 0,47 43 9 17 6,63 57 50 37 18,
hall,104400,13 12 1 0 0,31 25 5 10 0,49 50 14 20 14,66 56 10 15 36,,,28 25 5 33 0,47 43 9 21 10,65 56 30 14 34,
hame,105882,10 14 7 0 0,24 28 12 19 0,55 56 43 39 18,78 78 52 48 47,,,25 28 16 13 0,54 49 34 44 17,76 85 41 48 44,
hana,103127,23 19 1 0 0,40 33 7 7 0,52 46 41 3 6,67 52 30 3 23,90 85 54 17 80,,35 33 3 3 0,51 46 20 3 7,69 52 45 5 29,87 85 47 17 73
hand,119999,4 3 0 0 0,18 17 0 28 1,35 26 7 16 16,45 43 38 41 69,,,18 17 1 28 1,33 26 3 16 14,46 46 18 40 69,
hang,105154,15 16 0 19 0,33 32 12 50 0,65 56 16 34 20,85 80 20 34 36,,,34 40 14 50 0,65 56 9 34 20,79 80 20 34 33,
hani,112706,15 21 9 14 0,36 42 40 39 0,73 56 27 35 62,117 92 60 2 110,,,38 42 38 24 0,74 56 20 32 64,123 92 52 2 112,
haor,110512,13 17 1 25 0,27 35 9 30 0,45 53 16 85 12,64 80 23 57 35,,,26 35 7 30 0,47 53 18 69 11,60 80 20 54 28,
haph,99000,15 20 5 36 0,26 26 20 32 0,45 40 69 83 0,69 53 10 37 24,,,35 33 27 19 0,44 46 54 12 2,69 53 12 27 25,
hapk,110507,19 23 1 7 0,29 29 3 35 0,46 40 16 47 10,65 46 12 39 29,,,30 29 3 31 0,46 40 9 35 9,65 46 9 28 28,
hapl,116400,18 25 1 25 0,34 31 3 59 1,52 50 9 66 13,74 68 20 76 56,,,37 31 3 59 3,52 43 0 66 14,70 56 3 49 35,
happ,102634,13 23 0 0 0,32 34 14 29 0,43 46 21 58 8,56 51 32 52 21,,,32 46 20 29 0,40 40 20 53 7,51 51 34 58 14,
haps,94490,19 21 1 12 0,26 26 1 12 0,47 42 30 22 13,72 63 21 15 100,,,26 26 5 21 0,46 42 25 18 13,69 63 20 15 96,
hara,119350,23 30 5 20 0,40 38 18 29 1,58 61 36 36 14,86 92 47 54 72,,,40 38 14 29 1,59 61 29 39 17,88 100 50 33 77,
hart,114000,15 20 3 5 0,30 25 3 13 0,42 40 14 25 8,55 55 52 15 34,,,27 25 1 13 0,41 40 14 25 8,55 50 40 15 33,
haru,114332,19 22 5 39 0,28 37 23 54 0,39 37 18 59 0,62 60 12 80 15,,,30 30 3 49 0,39 37 16 60 0,61 60 12 80 14,
haum,116808,19 31 9 43 0,37 54 20 32 0,57 62 45 46 15,89 86 45 10 72,126 112 74 10 107,,36 54 21 32 0,59 62 38 34 16,89 86 43 10 72,135 112 69 10 109
haun,103738,20 19 3 0 0,26 25 21 34 0,41 51 9 51 3,69 64 1 39 42,,,24 25 10 26 0,43 51 12 17 4,71 58 7 28 34,
have,78095,13 21 7 0 0,17 21 0 0 0,30 21 0 0 0,43 42 16 0 10,60 63 10 0 51,,24 21 0 0 0,37 36 10 0 3,33 42 32 0 8,62 42 10 0 31
have2,116769,15 21 5 22 0,22 27 1 11 0,41 38 16 42 5,56 48 20 37 19,137 104 16 33 118,,25 27 1 9 0,42 38 9 21 5,53 43 23 21 17,116 97 7 28 112
hbfo,102263,21 28 3 29 0,51 47 0 21 0,66 47 3 38 13,89 76 18 23 29,,,48 38 0 19 0,68 57 1 21 13,84 67 1 12 25,
hbfo2,96000,20 24 14 40 0,49 38 1 55 18,62 48 0 42 78,80 67 5 32 103,,,49 38 1 55 19,59 48 0 43 61,81 67 0 32 104,
hboo,80474,29 28 0 16 0,46 35 3 0 1,61 56 1 0 14,74 56 1 0 28,,,45 35 0 0 2,51 56 20 0 4,74 56 0 0 28,
hboy,94255,,39 32 7 0 0,45 51 43 0 6,69 64 10 0 35,,,35 32 1 0 0,52 45 25 0 8,56 58 27 0 23,
hbut,87522,29 28 0 0 0,45 35 40 0 0,61 49 29 0 16,73 56 78 0 23,88 56 30 0 40,,49 35 41 0 0,65 49 10 0 17,73 56 34 0 27,92 85 47 0 101
hd2u,117372,14 11 3 14 0,32 40 21 23 1,52 45 14 30 20,78 74 14 28 95,,,31 34 16 23 1,50 40 16 30 18,76 68 12 28 83,
hdam,92115,,36 35 23 0 0,60 49 1 0 21,82 56 3 0 40,,,42 42 23 0 0,62 49 1 0 13,79 56 9 0 37,
heal,99188,30 29 5 0 0,55 59 10 0 2,76 59 43 0 24,96 59 25 0 48,,,54 59 21 0 2,76 59 43 0 24,94 59 29 0 46,
heat,86481,19 22 9 13 0,31 28 10 0 0,39 39 27 0 5,61 45 12 0 27,,,30 22 0 0 0,43 39 18 0 7,54 45 9 0 21,
heav,93471,23 23 1 0 0,30 30 1 5 0,48 61 14 15 11,63 61 40 50 53,,,37 38 7 4 0,52 61 10 22 11,69 68 12 24 57,
hede,121066,20 17 3 3 0,41 35 16 40 4,53 47 12 40 21,75 95 50 40 100,,,41 35 10 40 4,53 47 9 40 21,75 95 45 40 100,
heis,130568,11 14 1 17 0,33 36 16 12 0,54 58 36 28 14,85 88 20 23 70,,,35 36 9 14 0,54 58 20 27 13,82 80 14 18 61,
heit,106379,15 18 0 0 0,30 24 1 15 1,49 42 9 17 12,60 48 29 17 23,,,28 24 1 15 0,47 36 1 15 10,59 48 16 28 20,
heli,119999,23 30 5 17 0,43 45 18 61 5,69 60 20 75 29,97 110 47 85 100,,,43 45 14 71 5,67 60 12 63 26,96 110 7 76 100,
help,106229,20 30 0 22 0,33 30 1 23 0,51 53 27 18 6,65 61 41 12 20,,,34 38 1 23 0,51 53 25 12 5,64 61 36 12 18,
hera,114483,20 21 3 20 0,42 43 20 27 0,61 50 14 21 17,78 79 41 11 36,,,42 36 7 27 0,60 50 14 21 17,78 72 32 19 35,
here,98794,11 16 0 0 0,22 20 0 7 0,33 24 7 5 4,50 40 27 0 23,,,20 20 1 7 0,32 28 5 0 4,49 40 21 10 22,
hero,76519,,32 46 56 0 0,39 46 52 0 6,47 46 50 0 20,,,32 46 50 0 0,40 40 45 0 7,53 46 20 0 19,
hero2,97394,16 17 0 0 0,34 46 54 20 0,43 46 58 31 6,57 51 58 28 25,54 46 92 0 9,,35 46 49 7 0,42 46 58 16 6,59 46 23 10 20,50 40 65 2 7
hesa,94952,10 14 1 0 0,27 19 0 6 0,35 33 14 50 4,53 43 34 54 20,,,25 24 1 7 0,37 33 3 50 4,58 48 27 34 31,
hesk,122727,12 14 1 19 0,35 36 16 13 0,57 58 38 30 15,90 88 21 24 75,,,37 36 10 15 0,57 58 21 29 14,88 80 14 19 65,
hest,101146,16 17 5 0 0,34 35 20 67 0,43 40 1 91 8,60 52 1 29 31,47 35 23 87 8,,33 29 9 58 0,43 40 9 61 7,59 52 0 29 30,47 40 30 59 7
hevy2,120785,13 14 0 0 0,26 36 5 41 0,47 59 67 56 2,60 59 90 65 12,,,27 36 5 41 0,47 59 61 53 2,60 59 90 63 12,
heyb,98261,18 21 0 4 0,29 26 3 10 0,38 31 7 13 6,49 47 56 12 17,,,29 26 3 10 0,38 31 16 31 6,49 47 56 12 17,
hhav,88942,,27 28 3 0 0,43 35 18 0 1,69 56 29 0 25,,,32 35 0 0 0,44 56 9 0 3,64 56 30 0 17,
hher,80475,,41 28 1 0 0,57 56 98 0 10,84 56 3 0 38,,,42 35 12 0 0,55 56 38 0 9,79 56 3 0 33,
hide,105676,11 16 3 0 0,26 22 0 19 0,37 33 12 59 3,48 50 16 14 17,,,28 27 3 12 0,39 39 10 47 4,48 50 16 15 17,
hien1,101650,25 39 5 9 0,46 78 7 17 2,66 133 21 2 35,85 177 20 4 100,132 177 54 2 106,,42 49 12 57 0,59 98 10 52 11,77 78 1 5 20,140 177 12 1 107
